ID;SKU;URL
7898964436026    ;T-1102;https://www.google.com/shopping/product/12732512529873938933
7898964436118    ;T-1201;https://www.google.com/shopping/product/9296686778791886210
7898964436170    ;T-1207;https://www.google.com/shopping/product/5671184824093424467
7898964436194    ;T-1209;https://www.google.com/shopping/product/5671184824093424467
7898964436224    ;T-2202;https://www.google.com/shopping/product/15575781939331870043
7898338260530    ;ARKE-11;https://www.google.com/shopping/product/862928643197986546
7900000197485    ;KDT-2028;https://www.google.com/shopping/product/11038879936581571338
7900000197614    ;KDT-2125;https://www.google.com/shopping/product/17812783392846571888
7900000196754    ;CFA460;https://www.google.com/shopping/product/6452943550772832463
7891594047617    ;003D-HLCRCR;https://www.google.com/shopping/product/3318247170864446898
7891594049536    ;G022-CIAPAP;https://www.google.com/shopping/product/15307421314861344267
7894395008054    ;T-CDN17001;https://www.google.com/shopping/product/16571699387483276425
7894395008061    ;T-CDV17001;https://www.google.com/shopping/product/13338820146538502670
7898425522848    ;7957710    ;https://www.google.com/shopping/product/6455151454503510391
7898425485808    ;7965679    ;https://www.google.com/shopping/product/6335040188935828898
7898425489844    ;7965685    ;https://www.google.com/shopping/product/830532701801330722
7898425522466    ;7965688    ;https://www.google.com/shopping/product/9677540284959326755
7898425489165    ;7951853    ;https://www.google.com/shopping/product/4765516134244960206
7898425487628    ;7965682    ;https://www.google.com/shopping/product/9863780135443746034
7898425523562    ;7950113    ;https://www.google.com/shopping/product/2613414399074614119
7898425523487    ;7950105    ;https://www.google.com/shopping/product/17716729156949905632
7898425523456    ;7950102    ;https://www.google.com/shopping/product/10661578620433900910
7898425523500    ;7950107    ;https://www.google.com/shopping/product/6066331972312817910
7898425486133    ;7951317    ;https://www.google.com/shopping/product/13099198422292388396
7898425522794    ;7959256    ;https://www.google.com/shopping/product/1921222663073580314
7899525670514    ;MART-7051;https://www.google.com/shopping/product/14891498767626644536
7899525665190    ;MART-6519;https://www.google.com/shopping/product/3940944493833243015
