IDENTIFICADOR;SKU;Lojas Guaporé;Player 1;Price 1;Player 2;Price 2
76174919189    ;4-91-918;;;;;
7899182783312    ;4-88-976;;;;;
7899182781462    ;4-86-308;;;;;
76174104868    ;10-486;;;;;
76174145663    ;14-566;;;;;
76174145588    ;14-558;;;;;
7898626953069    ;VS709BRA10;;;;;
7891506573111    ;1990-IPA-ECO-CR;;;;;
7900000194965    ;Jacuzzi-99843344;;;;;
7893809099688    ;Jacuzzi-99844649;;;;;
7893809077136    ;Jacuzzi-99843088;;;;;
7893809094522    ;Jacuzzi-99840274;;;;;
7893809100247    ;Jacuzzi-99861023;;;;;
7897746266646    ;91874090    ;;;;;
7892162078231    ;7823    ;;;;;
7898425489202    ;7951857    ;;;;;
7897752808335    ;VE020VDPDAB;;;;;
7898425485754    ;7951312    ;;;;;
7898425489141    ;7951851    ;;;;;
7898425489226    ;7951859    ;;;;;
7891461275020    ;848870    ;;;;;
7891461198527    ;771906    ;;;;;
7891461281922    ;847744    ;;;;;
7891461163662    ;699406    ;;;;;
7891461184629    ;738816    ;;;;;
7891461239374    ;695756    ;;;;;
7891461280796    ;647370    ;;;;;
7891461243944    ;848906    ;;;;;
7891461275082    ;849370    ;;;;;
7891461272524    ;486370    ;;;;;
7891461195724    ;765106    ;;;;;
7891461197742    ;767806    ;;;;;
7891461197797    ;768306    ;;;;;
7891461240271    ;840042    ;;;;;
7891461243906    ;848306    ;;;;;
7891461261955    ;885406    ;;;;;
7891461286996    ;847972    ;;;;;
7891461274184    ;848370    ;;;;;
7891461281960    ;848344    ;;;;;
7891461275006    ;848670    ;;;;;
7891461274214    ;873970    ;;;;;
7891461275174    ;850069    ;;;;;
7894200024071    ;4416202    ;;;;;
7894200243670    ;2060.GL97;;;;;
7894200278184    ;4903.C20.PQ;;;;;
7894200791089    ;L.76.95;;;;;
5450158693497    ;25098045    ;;;;;
7900000120575    ;24038655    ;;;;;
7893398509186    ;150911-2C-23;;;;;
7892175238301    ;M-7280;;;;;
7900000197379    ;M-4650;;;;;
7898964436262    ;T-2106;;;;;
7898338260790    ;ARKE-3;;;;;
7898338263555    ;ARKE-5046;;;;;
7898338262978    ;ARKE-5120;;;;;
7898338262961    ;ARKE-5119;;;;;
7900000197652    ;KDT-2276;;;;;
7900000197584    ;KDT-2283;;;;;
7891594049543    ;G023-CIAPAP;;;;;
7891594047990    ;0003-QACRCR;;;;;
7891594047716    ;047T-HLCRCR;;;;;
7891594049666    ;0T47-NRCRCR;;;;;
7894395000997    ;T-CIN25001;;;;;
7894395006326    ;T-GRC00008;;;;;
7898425522954    ;7958207    ;;;;;
7898425522879    ;7958199    ;;;;;
7898425522893    ;7958201    ;;;;;
7898425486720    ;7965681    ;;;;;
7898425489189    ;7951855    ;;;;;
7898425523517    ;7950108    ;;;;;
7898425485747    ;7951311    ;;;;;
7898425487178    ;7951331    ;;;;;
7898425522718    ;7959248    ;;;;;
7899525662540    ;MART-6254;;;;;
7899525661208    ;MART-6120;;;;;
7899525672228    ;MART-7222;;;;;
7899525666005    ;MART-6600;;;;;
7899525666319    ;MART-6631;;;;;
7899525666326    ;MART-6632;;;;;
7899525666623    ;MART-6662;;;;;
7899525657799    ;MART-5779;;;;;
7899525665176    ;MART-6517;;;;;
7899525665954    ;MART-6595;;;;;
7899525666159    ;MART-6615;;;;;
7899525664605    ;MART-6460;;;;;
7899525669884    ;MART-6988;;;;;
7899525670125    ;MART-7012;;;;;
7899525662694    ;MART-6269;;;;;
7899525662717    ;MART-6271;;;;;
7899525670200    ;MART-7020;;;;;
7899525663141    ;MART-6314;;;;;
7898292025350    ;140320014    ;;;;;
7898292025398    ;140320018    ;;;;;
7898292025435    ;140320022    ;;;;;
7898292025732    ;100310027    ;;;;;
7898292020546    ;147200045    ;;;;;
7898419470414    ;148170021    ;;;;;
7898292025015    ;140140047    ;;;;;
7898292024827    ;140140028    ;;;;;
7898292025183    ;140140053    ;;;;;
7898292025329    ;140320011    ;;;;;
7898292024797    ;149260070    ;;;;;
7898292025084    ;140260031    ;;;;;
7898292024780    ;149260069    ;;;;;
7898292027026    ;149400019    ;;;;;
7898419479431    ;149410006    ;;;;;
7898419467520    ;148160055    ;;;;;
7898292020478    ;147200032    ;;;;;
7892162086199    ;8619    ;;;;;
7892162113338    ;11333    ;;;;;
7892162050480    ;5048    ;;;;;
7897826105070    ;Gart-113020-011;;;;;
7897826105087    ;Gart-113026-001;;;;;
7897826105124    ;Gart-113026-005;;;;;
7897826105339    ;Gart-113027-004;;;;;
7897826105353    ;Gart-113027-006;;;;;
7897826105414    ;Gart-113028-001;;;;;
7897826105667    ;Gart-113029-004;;;;;
7897826105735    ;Gart-113029-011;;;;;
7897826106244    ;Gart-113038-008;;;;;
7897826106282    ;Gart-113039-001;;;;;
7897826106428    ;Gart-113040-004;;;;;
7897826106497    ;Gart-113040-011;;;;;
7897826106503    ;Gart-113045-001;;;;;
7897826106572    ;Gart-113045-008;;;;;
7897826106657    ;Gart-113046-005;;;;;
7897826106749    ;Gart-113050-003;;;;;
7897826106756    ;Gart-113050-004;;;;;
7897826106763    ;Gart-113050-005;;;;;
7897826106817    ;Gart-113050-010;;;;;
7897826106855    ;Gart-113051-003;;;;;
7897826105292    ;Gart-153026-011;;;;;
7897826105537    ;Gart-153028-002;;;;;
9008606158966    ;EGLO-49461V;;;;;
7896873186568    ;Komeco-100032233;;;;;
7891461354220    ;810344    ;;;;;
7891461306281    ;916444    ;;;;;
7891461306793    ;916470    ;;;;;
7891461307011    ;919370    ;;;;;
7891461310899    ;919670    ;;;;;
7891461310691    ;919869    ;;;;;
7891461307097    ;926344    ;;;;;
7894201059331    ;10085615    ;;;;;
7894693768865    ;94540052    ;;;;;
7891222203712    ;HA085XC-BR;;;;;
7891222088012    ;H086BC-BR;;;;;
7891222263136    ;HA308BCQ-BR;;;;;
7891222198865    ;HA308BC-BR;;;;;
7891222134818    ;H087XC-BR;;;;;
7891222262054    ;HA015BCQ-BR;;;;;
7891222061800    ;H057BC-BR;;;;;
7891222259399    ;H068XCQ-BR;;;;;
7891222090077    ;H188BC-BR;;;;;
7891222088746    ;H178BC-BR;;;;;
7891222260470    ;H145XCQ-BR;;;;;
7891222063583    ;H118XC-BR;;;;;
7891222260234    ;H128XCQ-BR;;;;;
7891222320778    ;H045BCQ-BR;;;;;
7891222260012    ;H124BCQ-BR;;;;;
7891222262290    ;HA045BCQ-BR;;;;;
7891222063309    ;H108BC-BR;;;;;
7891222262658    ;HA128BCQ-BR;;;;;
7891222202098    ;HA135BC-BR;;;;;
7891222262894    ;HA196BCQ-BR;;;;;
7891222140512    ;H251XC-BR;;;;;
7891222064542    ;H135XC-BR;;;;;
7891222260616    ;H165BCQ-BR;;;;;
7891222262832    ;HA168BCQ-BR;;;;;
7891222261316    ;H251XCQ-BR;;;;;
7891222236192    ;HA333BC-BR;;;;;
7891222228029    ;HA327WC-BR;;;;;
7891222201268    ;ACP2-22E-BR;;;;;
7891222282274    ;ACP31-8W-BR;;;;;
7891222144442    ;HDAU-BR1;;;;;
7891222173619    ;ES-BH228;;;;;
7898080478726    ;ICASA-ICA3;;;;;
7898080471819    ;ICASA-IB7;;;;;
7898960394061    ;3D-007-Marettimo;;;;;
7898960394139    ;3D-015-Tremiti;;;;;
7895286137891    ;E0563.20.20;;;;;
7900000189374    ;IPC-MSUT00666;;;;;
7898152186818    ;FW005874;;;;;
7898152180137    ;FW004641;;;;;
7898152189406    ;DF000009;;;;;
7898152188195    ;FW006126;;;;;
7894023049664    ;JPRAC18;;;;;
7894023084597    ;JALR;;;;;
7894023084610    ;JBLR;;;;;
7894023004281    ;JVTQ;;;;;
7894023030594    ;JCGR;;;;;
8414329730050    ;Z247977001;;;;;
8414329179507    ;Z5A0129C00;;;;;
76174680102    ;68-010;;;;;
7891222091418    ;PI-525-BR;;;;;
7891222196496    ;ACP23-17-BR;;;;;
7898960394047    ;3D-004-Linosa;;;;;
50375018933    ;IN-44837;;;;;
7898459276793    ;IPC-LPTE00648;;;;;
7898152180168    ;FW004644;;;;;
7898152189109    ;FW004245;;;;;
7898152188836    ;DL000001;;;;;
7894023064483    ;JBIS;;;;;
7894023067859    ;JTL1BR1;;;;;
7894023072945    ;CVCER;;;;;
7900000197003    ;M-3383-6;;;;;
7892175055205    ;M-4619;;;;;
7898964436521    ;T-3206;;;;;
7898964436019    ;T-1101;;;;;
7898964436101    ;T-1110;;;;;
7898964436378    ;T-2207;;;;;
7898338263562    ;ARKE-5043;;;;;
7898338261438    ;ARKE-60;;;;;
7898338262589    ;ARKE-5141;;;;;
7900000197645    ;KDT-2818;;;;;
7900000197683    ;KDT-2824;;;;;
7900000190004    ;KDT-2602;;;;;
7891594048041    ;0T47-QACRCR;;;;;
7891594049611    ;0006-NRCRCR;;;;;
7894395001482    ;T-COV36010;;;;;
7894395001079    ;T-CIN30037;;;;;
7894395002229    ;T-G1310025;;;;;
7898425521049    ;7965642    ;;;;;
7898425486768    ;7965663    ;;;;;
7898425489776    ;7965667    ;;;;;
7898425485228    ;7965678    ;;;;;
7898425523449    ;7950101    ;;;;;
7898425523463    ;7950103    ;;;;;
7898425521940    ;7951340    ;;;;;
7898425522770    ;7959254    ;;;;;
7898425522695    ;7959246    ;;;;;
7899525672235    ;MART-7223;;;;;
7899525657676    ;MART-5767;;;;;
7899525665510    ;MART-6551;;;;;
7899525665961    ;MART-6596;;;;;
7899525666616    ;MART-6661;;;;;
7899525665220    ;MART-6522;;;;;
7899525670019    ;MART-7001;;;;;
7899525672044    ;MART-7204;;;;;
7899525666050    ;MART-6605;;;;;
7898292025374    ;140320016    ;;;;;
7898292025381    ;140320017    ;;;;;
7898292025411    ;140320020    ;;;;;
7898292020539    ;147200044    ;;;;;
7898419466509    ;111200000    ;;;;;
7898292029945    ;147400063    ;;;;;
7898419469593    ;148170003    ;;;;;
7898292026395    ;147400074    ;;;;;
7898292026432    ;147400078    ;;;;;
7898292026456    ;147400080    ;;;;;
7898292025046    ;140140052    ;;;;;
7898292025053    ;140240017    ;;;;;
7898292025060    ;140240018    ;;;;;
7898292024728    ;149260063    ;;;;;
7898292024742    ;149260065    ;;;;;
7898292025152    ;149260075    ;;;;;
7898292024773    ;149260068    ;;;;;
7898419474566    ;100400004    ;;;;;
7898419479462    ;149410017    ;;;;;
7898292025664    ;147190088    ;;;;;
7892162058530    ;5853    ;;;;;
7892162116537    ;11653    ;;;;;
7892162124891    ;12489    ;;;;;
7892162148705    ;14870    ;;;;;
7892162100246    ;10024    ;;;;;
7892162151620    ;15162    ;;;;;
7892162144875    ;14487    ;;;;;
7898965033057    ;3005010    ;;;;;
8414329534078    ;A327110000;;;;;
7891333112934    ;A327A15860;;;;;
7891333084101    ;B327881001;;;;;
7891333084002    ;B327883001;;;;;
7892162090141    ;9014    ;;;;;
7899182781431    ;4-86-305;;;;;
76174933611    ;4-93-361;;;;;
76174162264    ;16-226;;;;;
76174145632    ;14-563;;;;;
76174121650    ;12-165;;;;;
76174773651    ;STHT77365;;;;;
7898626953106    ;VS902BRA10;;;;;
7898626953250    ;FX5010BRA10;;;;;
7898626953267    ;FX503BRA10;;;;;
7897451412758    ;Cortag-61275;;;;;
7898615848543    ;CH9005;;;;;
7900000172048    ;7951213    ;;;;;
7891461195526    ;763906    ;;;;;
7891461195342    ;763606    ;;;;;
7891461261894    ;884506    ;;;;;
7891461261900    ;884606    ;;;;;
7891461286941    ;847772    ;;;;;
7891461274146    ;847870    ;;;;;
7891461239299    ;695777    ;;;;;
7891461323677    ;647369    ;;;;;
7891461323806    ;699469    ;;;;;
7891461286668    ;388272    ;;;;;
7891461238674    ;837042    ;;;;;
7891461238940    ;738956    ;;;;;
7891461286514    ;626372    ;;;;;
7891461281670    ;486344    ;;;;;
7891461160852    ;692306    ;;;;;
7891461197773    ;768106    ;;;;;
7891461255497    ;873806    ;;;;;
7891461261887    ;886806    ;;;;;
7891461274153    ;847969    ;;;;;
7891461275037    ;873869    ;;;;;
7891461282516    ;449544    ;;;;;
7894200065517    ;4509502    ;;;;;
7892162145643    ;14564    ;;;;;
7894200701408    ;L.90.94;;;;;
7900000135296    ;92815211    ;;;;;
7897826104219    ;Gart-113003-002;;;;;
7897826104486    ;Gart-113010-007;;;;;
7897826104578    ;Gart-113011-005;;;;;
7897826104646    ;Gart-113012-001;;;;;
7897826104684    ;Gart-113012-005;;;;;
7897826104707    ;Gart-113012-007;;;;;
7897826104714    ;Gart-113012-008;;;;;
7897826104806    ;Gart-113018-006;;;;;
7897826104813    ;Gart-113018-007;;;;;
7897826105100    ;Gart-113026-003;;;;;
7897826105131    ;Gart-113026-006;;;;;
7897826105377    ;Gart-113027-008;;;;;
