Nome;CEP;Transportadora;Preço;Prazo
sasazaki;13091120;Expresso;Frete Grátis;2 à 22 dias
stanley;13091120;Super Expresso ES;R$ 15,64;1 à 21 dias
stanley;13091120;Expresso;R$ 24,94;2 à 22 dias
suggar;13091120;ERRO;ERRRO;ERRO
tapetes-sao-carlos;13091120;Expresso;Frete Grátis;2 à 22 dias
tarkett;13091120;Plimor;Frete Grátis;1 à 11 dias
tarkett;13091120;Super Expresso;R$ 54,02;1 à 11 dias
tarkett;13091120;Remais;R$ 62,16;6 à 16 dias
tarkett;13091120;Transuni;R$ 72,25;4 à 14 dias
tarkett;13091120;Camilo dos Santos;R$ 73,26;2 à 12 dias
tarkett;13091120;Frota Guapore;R$ 131,56;5 à 15 dias
taschibra;13091120;Super Expresso ES;R$ 8,61;1 à 21 dias
taschibra;13091120;Expresso;R$ 23,54;2 à 22 dias
tecno-mobili;13091120;Expresso;R$ 50,93;2 à 22 dias
tigre;13091120;Super Expresso ES;R$ 10,16;1 à 21 dias
tigre;13091120;Expresso;R$ 23,70;2 à 22 dias
tramontina;13091120;Super Expresso ES;R$ 22,35;1 à 21 dias
tramontina;13091120;Expresso;R$ 28,67;2 à 22 dias
vulcan;13091120;Super Expresso ES;R$ 14,93;1 à 21 dias
vulcan;13091120;Expresso;R$ 25,32;2 à 22 dias
wbertolo;13091120;Super Expresso ES;R$ 19,07;1 à 21 dias
wbertolo;13091120;Expresso;R$ 27,05;2 à 22 dias
